title,artist,genre
あゝオオサカdreamin'night,どついたれ本舗,アニソン
嗚呼、素晴らしきニャン生,"Nem feat.鏡音レン,GUMI",ボカロ
ああ電子戦隊デンジマン,"成田賢,こおろぎ'73",ニチアサ
EYE,Kanaria feat. GUMI,ボカロ
アイデンティティ,"Kanaria feat. 初音ミク,GUMI",ボカロ
アイドル,YOASOBI,アニソン
Iなんです,25時、ナイトコードで。,アニソン
アイネクライネ,米津玄師,J-POP
アイのシナリオ,CHiCO with HoneyWorks,アニソン
愛迷エレジー,DECO*27 feat.marina,ボカロ
アイラビューアイニジュー,KEI feat.初音ミク,ボカロ
アイロニ,すこっぷ feat. 初音ミク,ボカロ
アイワナムチュー,"MAISONdes feat. asmi, すりぃ",ボカロ
愛をこめて花束を,Superfly,J-POP
アウターサイエンス,じん feat. IA,ボカロ
青のすみか,キタニタツヤ,アニソン
アカシア,BUMP OF CHICKEN,アニソン
悪魔の踊り方,こんにちは谷田さん(キタニタツヤ) feat. 鏡音リン,ボカロ
アサガオの散る頃に,じっぷす feat. 初音ミク,ボカロ
阿修羅ちゃん,Ado,J-POP
アスノヨゾラ哨戒班,Orangestar feat.IA,ボカロ
アドバンス・アドベンチャー,GARDEN,アニソン
アニマル,"DECO*27,Rockwell feat.初音ミク",ボカロ
あの夏のいつかは,"*Luna feat. 音街ウナ,Rana",ボカロ
About me,蝶々P feat. GUMI,ボカロ
アポロ,ポルノグラフィティ,J-POP
天ノ弱,164 feat.GUMI,ボカロ
Alive A life,松本 梨香,アニソン
アローラ!!,サトシ(CV.松本梨香)withピカチュウ(CV.大谷育江),アニソン
アンサイズニア,ONE OK ROCK,J-POP
アンダー・ザ・シー,上條恒彦,ディズニー
UNDEAD,YOASOBI,アニソン
&ME,NALALA,アイドル
いーあるふぁんくらぶ,"みきとP feat.GUMI,鏡音リン",ボカロ
いかないで,想太 feat.歌愛ユキ,ボカロ
いけないボーダーライン,ワルキューレ,アニソン
1925,冨田悠斗(とみー/T-POCKET) feat. 初音ミク,ボカロ
一生分のラブレター,ウソツキ,J-POP
威風堂々,"梅とら feat. 初音ミク,鏡音リン,巡音ルカ,GUMI,IA",ボカロ
インフルエンサー,乃木坂46,アイドル
ヴァンパイア,"DECO*27,Rockwell feat. 初音ミク",ボカロ
We are the ONE ～僕らはひとつ～,串田アキラ,ニチアサ
ウィーアー！,きただにひろし,アニソン
ヴィラン,てにをは feat. v flower,ボカロ
Watch me!,YOASOBI,アニソン
うまぴょい伝説,ウマ娘 プリティーダービー,アニソン
え？あぁ、そう。,蝶々P feat. 初音ミク,ボカロ
エイリアンエイリアン,ナユタン星人 feat. 初音ミク,ボカロ
YELL,いきものがかり,J-POP
EXCITE,三浦大知,ニチアサ
エゴロック,すりぃ feat. 鏡音レン,ボカロ
Anything Goes!,大黒摩季,ニチアサ
Everyday、カチューシャ,AKB48,アイドル
M,PRINCESS PRINCESS,J-POP
エンヴィーベイビー,Kanaria feat. GUMI,ボカロ
『エンヴィーベイビー』×『KING』,Kanaria feat. GUMI,ボカロ
炎神戦隊ゴーオンジャー,高橋秀幸(Project.R),ニチアサ
炎神ファーストラップ-Type Normal-,Project.R,ニチアサ
エンゼルフィッシュ,パトリチェフ feat. 鏡音リン,ボカロ
EmBlem!!!,BAE,アニソン
大声ダイヤモンド,AKB48,アイドル
オートファジー,柊キライ feat. v flower,ボカロ
Overdose,なとり,J-POP
オーレ!オーレンジャー,速水けんたろう,ニチアサ
おジャ魔女カーニバル!!,MAHO堂,アニソン
おじゃま虫,DECO*27 feat. 初音ミク,ボカロ
おじゃま虫Ⅱ,"DECO*27,TeddyLoid feat. 初音ミク",ボカロ
おちゃめ機能,ゴジマジP feat. 重音テト,ボカロ
踊,Ado,J-POP
乙女解剖,DECO*27 feat.初音ミク,ボカロ
鬼ノ宴,友成空,J-POP
おねがいダーリン,ナナホシ管弦楽団 feat. ONE,ボカロ
お願いマッスル,紗倉ひびき(CV.ファイルーズあい)＆街雄鳴造(CV.石川界人),アニソン
オリオンをなぞる,UNISON SQUARE GARDEN,J-POP
俺こそオンリーワン,MORISAKI WIN,ニチアサ
ガーネット,奥華子,アニソン
ガールズルール,乃木坂46,アイドル
廻廻奇譚,Eve,アニソン
怪獣の花唄,Vaundy,J-POP
快晴,Orangestar feat. IA,ボカロ
海賊戦隊ゴーカイジャー,松原剛志(Project.R),ニチアサ
怪盗・窪園チヨコは絶対ミスらない,椎名もた(ぽわぽわP) feat. 鏡音リン,ボカロ
怪物,YOASOBI,アニソン
帰り道は遠回りしたくなる,乃木坂46,アイドル
ガオレンジャー吼えろ!!,山形ユキオ,ニチアサ
科学戦隊ダイナマン,"Mojo,こおろぎ '73",ニチアサ
カキツバタオルケストラ,"藍乃 feat. 滲音かこい,*染",ボカロ
影踏みエトランゼ,Substreet feat. 初音ミク,ボカロ
カゲロウデイズ,じん feat. 初音ミク,ボカロ
カサブタ,千綿ヒデノリ,アニソン
風待ちハローワールド,add9(ヘリP) feat. 初音ミク,ボカロ
風待ちハローワルド,add9(ヘリP) feat. 初音ミク,ボカロ
ガッチャ☆ゴセイジャー,高橋秀幸(Project.R),ニチアサ
勝って泣こうゼッ!,"T-Pistonz,KMC",アニソン
Got Boost？,FANTASTICS,ニチアサ
カトラリー,有機酸 feat. 初音ミク,ボカロ
かなしみのなみにおぼれる,Neru feat. 鏡音レン,ボカロ
神っぽいな,ピノキオピー feat.初音ミク,ボカロ
からくりピエロ,40mP feat.初音ミク,ボカロ
Calc.,ジミーサムP feat. 初音ミク,ボカロ
かわいいだけじゃだめですか？,CUTIE STREET,アイドル
可愛くてごめん,feat. ちゅーたん(CV.早見沙織)/HoneyWorks,アニソン
変わらないもの,奥華子,アニソン
勘冴えて悔しいわ,ずっと真夜中でいいのに。,J-POP
感動共有!,"T-Pistonz,KMC",アニソン
