配信回数,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
日付,2021/10/31,2021/11/14,2021/11/27,2021/12/11,2021/12/19,2022/01/22,2022/02/06,2022/02/12,2022/02/20,2022/04/03,2022/04/16,2022/05/04,2022/09/04,2022/09/18,2022/11/13,2023/01/29,2023/03/10,2023/04/15,2023/05/05,2023/05/21,2023/05/26,2023/06/09,2023/06/28,2023/08/28,2023/09/04,2023/10/07,2023/10/21,2023/11/04,2023/12/07,2023/12/24,2023/12/31,2024/01/04,2024/01/11,2024/02/15,2024/02/24,2024/03/16,2024/03/22,2024/03/31,2024/04/18,2024/05/03,2024/06/15,2024/06/26,2024/07/12,2024/07/19,2024/08/08,2024/09/04,2024/09/11,2024/09/18,2024/09/25,2024/10/05,2024/10/18,2024/11/03,2024/11/06,2024/11/14,2024/11/21,2024/12/06,2024/12/28,2024/12/29,2025/01/08,2025/12/17,2025/01/31,2025/04/10,2025/05/21,2025/07/19,2025/08/09,2025/08/28,2025/09/04,2025/10/17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
配信タイトル,【はじめてのうた枠！】はろうぃんだけど歌いたいのははろうぃんじゃない,【うた枠やるよ！】歌うときってマイクちょっと触っちゃうよね,【歌枠をやる！】動画がでる前に生歌もききたいじゃん？たぶん,【歌枠だよ～！】暖房がないなら歌をうたえばいいじゃない,【歌枠だ！】クリスマスって雰囲気がもう歌いたくなるやつ,【#歌枠 ですよ～】盛り上がってくるとマイクから距離をとりがち,【#歌枠 だぞ！】あなたのカワイイはどこから？ゆんはここから！,【#歌枠 をします!!】甘めの曲をバレンタイン前にやっちゃうやつ,【#歌枠 だって！】つよいのは顔面だけじゃない歌枠ってマ？,【#歌枠 やろうよ】乾燥に負けない！うるうる歌枠（って何？）,【#歌枠 しよう！】2016年までのボカロ曲みんなで懐かしんじゃうやつ,【おたんじょうび記念】ありがとうをきいてほしいよ,【#歌枠 なんです】声出してけ～～！ふっかつ歌枠にしよう！,【スーパー戦隊だけ #歌枠 】にちようびのヒーローになりたいときがありました,【＃歌枠】ふたりでならゆるっと楽しく歌っちゃう【SmileY定期配信！】,[ #歌枠 】よくうたう雑談配信って歌雑談でいいの？,【 #歌枠 】最近、うたうときはおみず派です。,【 #初見歓迎 】さざなみゆん、登録者1000人超えたいです！,【 #歌枠 】いままでよりもうごきます！すごい！,【#歌枠 しよう！】2016年までのボカロ曲みんなで懐かしんじゃうやつ,【 #歌枠 】歌う時よりも曲選んでるときの姿勢に迷う最近,【 #歌枠 】のんびりうたってきょうもおつかれさま会しようね,【 #歌枠 】すきな曲をうたうのさ！リクエストもOKだ～～,【 #歌枠 】うた！今週もふぁいと～～！してこ！,【 #歌枠 】うたうときは脇の下あたりにめっちゃ力が入ります。,【 #歌枠 】出しやすい音程の歌をバチっとキメたい！,【 #歌枠 】初見さんも大歓迎！かわいいからかっこいいまでこなしちゃうぜ,【 #歌枠 】歌うとき目をつぶると歌詞が見えないから気を付けたい,【 #歌枠 】 スマホ視聴推奨⁉縦型配信で歌枠だ✨,【 #歌枠 】冬っぽいことができてないクリスマスイブの歌枠🎄やろ！,【 #ニチアサ #歌枠 】大晦日だしニチアサ放送休みだし！スーパー戦隊歌枠だ！！,【 #歌枠 】1700人あざす！！2024年も歌います！！,【 #歌枠 】 ゆるっとはなしてうたうのさ◎,【 #歌枠 】 新衣装で歌枠じゃい かわいかろ～～～ ,【 #歌枠 】 チャンネル登録さんが2000人なるまで！うたお～～～！,【 #歌雑 】 久しぶりにおひるにのんびりやっていこうとおもう～～,【 #歌枠 】 なんかまだまださむくない？あったかいものがまだ恋しい！,【 #世界一可愛い歌枠リレー 】 さざなみゆん！かわいさをめいっぱい見せつけちゃいます✨,【 #歌枠 】さいきんあったかいどころかあつくないか～！？,【 #歌枠 】おたんじょ～び前夜は歌わなきゃね,【 #歌枠 】喉の調子いいなら歌うしかないよねえ,【 #歌雑談 】好きなときにだけ歌うのが歌雑談といいます,【 #歌枠 】気温vs湿度vsさざなみゆん,【 #歌枠 】本日は歌雑談のつもりの配信をしますよっと,【 #歌枠 】まいにちが　あつすぎる　けど　うたいます,【 #歌枠 】なにはともあれうたう　すこしだけ,【 #歌枠 】うたうたうたうた～～～～～～～～～！！！！！！！,【 #歌枠 】あとはねるだけ、じゃなくて、うたうだけ！,【 #歌雑談 】ちょっとそこで暇してるなら話していかん？,【 #歌枠 】たくさん歌いたいぞ～～な土夜の歌枠です🎤,【 #歌枠 】３周年むかえましたからね、歌いますよ！,【 #ニチアサ 】放送がおやすみならなにやる？？うたうか～～～～！！！,【 #歌枠 】雑談しつつ、うたいましょ～よ,【 #歌枠 】カラオケにきたぞ～～！！採点とかでもあそんでみよっと,【 #歌枠 】よるのJ-POP中心まったりたのしい歌枠,【 #歌枠 】 久しぶりに縦型配信するけどできるのかな～～！？ ,【 #歌枠 】 ねむれないひと、しゅうごう～～歌枠,【 #ニチアサ 歌枠‼ 】今年もスーパー戦隊のOP全部うたっちゃうぞ,【 #歌枠 】 さむさにまけずにこのふゆもうたっちゃうよ～～ ,【 #歌枠 】 まったりうたっちゃお～～！加湿器大活躍歌枠 ,【 #歌枠 】あまり決まっていない歌枠,【 #歌雑談 】ひさしぶりに声出しうおお歌雑談,【 #歌雑談 】 まったり歌枠～チルとは言っていません,【 縦型歌枠 】 かるくうたおう,【 #LEAFshade歌枠リレー 】夏だ！歌枠リレーだ！もりあがろ！,【第６回 #ごちゃ混ぜ歌枠リレー】 これがギャップ…ってやつ！？ドキドキのセトリで歌う！　セトリ：無虚無眠さん,【 #歌枠 】　晩夏ってことですかね,【 #歌枠 】　さざなみゆん4周年記念日です！いつもありがとうの歌枠！,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
配信URL,https://www.youtube.com/live/dI3Hzg9-TmQ?si=e_GQIZ-GNvCuBTGs,https://www.youtube.com/live/Ua8qXpXrV9E?si=tpo_YPm62HKv0Xea,https://www.youtube.com/live/Q-uFD8dXlTs?si=DC-4VTAwcVvjGTzd,https://www.youtube.com/live/i0QBW-9nOZk?si=RyVl0RshxoLU1Mne,https://www.youtube.com/live/CdKSdw8_6jQ?si=IS0O2XxmJdDbydJo,https://www.youtube.com/live/ptgiycUv0QI?si=BtuRejUYEPq70yfp,https://www.youtube.com/live/M_vvwDbLRGY?si=YJHekDXeskZ1D1Wt,https://www.youtube.com/live/2KdbCWo4ll4?si=FfgAjAbqxxDNKIj2,https://www.youtube.com/live/0eP-XReeRpY?si=240Z8hP7bJbwUoSC,https://www.youtube.com/live/bVsZGNzESqQ?si=5x0XNXKXK8KOdnYe,https://www.youtube.com/live/_i7sqLTHimA?si=kc7_bP1ezBCSeTZC,https://www.youtube.com/live/Hjjodb7WXY8?si=LgB8N4QBQVddAs8g,https://www.youtube.com/live/QsnBqdIWeLU?si=EZWrOSJ0aINoF50o,https://www.youtube.com/live/WxoE1Jufc8M?si=C2OjMv2ofMMf-Dok,https://www.youtube.com/live/jXJ3WZF4Pl4?si=TseLauOpQUsqvuxd,https://www.youtube.com/live/MpvyCUbYdh8?si=pnTL9B7h6iOpYym5,https://www.youtube.com/live/aFXsLEKjIto?si=MhyZbbd8_--80Ef1,https://www.youtube.com/live/dH2PeajcdEk?si=M05dD0kZL42_M4ZV,https://www.youtube.com/live/X-X0BzyFzEE?si=WjqiTgmNp4QnXFUp,https://www.youtube.com/live/o7YgO-KSa9Y?si=w_iwLENqgNorSO42,https://www.youtube.com/live/IHvyShUrL1Y?si=udh6V_YZ7g03JRAo,https://www.youtube.com/live/NuLuNPmbLLs?si=Gk5CEyrN9xg6lfsQ,https://www.youtube.com/live/ueOt68rTqUE?si=A0VJF2IZU9izFef6,https://www.youtube.com/live/oQlbjcKjeg4?si=f0ImTUhycyqJqi38,https://www.youtube.com/live/agd8aIdVvYk?si=IfhZl0f4ibv3cUVb,https://www.youtube.com/live/J2zkcVjHYVQ?si=t2hg3pLoopZtfrfK,https://www.youtube.com/live/vDorCt8U1PI?si=gBMcBxEqc5gBzhLA,https://www.youtube.com/live/4T60OGaBzfQ?si=PCGNy9-DUontRCq4,https://www.youtube.com/live/eraBDGCwcyI?si=6pcqbLbI3CAo56xU,https://www.youtube.com/live/yc8SilHnWXw?si=PYqxIzXiYo9oqnTp,https://www.youtube.com/live/Ji3L7gBApco?si=3pfOLs4GfcqVWMBn,https://www.youtube.com/live/QBBT5jLBgkE?si=iLYzZG5CDrF8OGas,https://www.youtube.com/live/3JrtwubyrPU?si=CcwfCCtp3_azqb65,https://www.youtube.com/live/bMZw3GcXy_Q?si=GmonI8yLLxFghVjL,https://www.youtube.com/live/Fk5e3Ow46FU?si=Rtj39TRmAfVChZG5,https://www.youtube.com/live/3DuoOL8BqUI?si=pUwYGASiwmSTDmgO,https://www.youtube.com/live/Ud_OQRctokI?si=iN_OBa4grGN4C4Ix,https://www.youtube.com/live/WMkqgXSm5vE?si=Qhvf0dGxkzr7u4Q9,https://www.youtube.com/live/sXJSkuzUuTk?si=HK_9e5S_fsq1Kv33,https://www.youtube.com/live/PqtfIT-4Pd4?si=x8rzdbr9pxGyO0Qk,https://www.youtube.com/live/7e4jsNFxgrA?si=HTKWVdQRewD1vrI_,https://www.youtube.com/live/7R4cbltkOGc?si=wDEEtlzuA5slfMEf,https://www.youtube.com/live/EopG6odqjUQ?si=A_P24lOi2499qj8U,https://www.youtube.com/live/oyjVH_0KbPc?si=uj4xBBcV29d-s3PW,https://www.youtube.com/live/Qmz1BdL1ZaI?si=kOTaGKscK1HEwyW6,https://www.youtube.com/live/T5Sx7ogYV2E?si=WZyL_F_mQMG_Wicz,https://www.youtube.com/live/_gU1ZNzQtJM?si=JfG4-KyJz2eMao-A,https://www.youtube.com/live/MSp9t60nz-U?si=AjS_zlLtrEFpVDW9,https://www.youtube.com/live/XXJdlKASUS0?si=OGAHiwxLXOs-DFSe,https://www.youtube.com/live/L9oyk5maVSQ?si=wtl9aefYTc_6NOkT,https://www.youtube.com/live/fOgDH8ivkm4?si=H4BS6zjzZdz7dLO_,https://www.youtube.com/live/pKyPNG0MWxg?si=80x1dWLQVhVj5jHd,https://www.youtube.com/live/MgHyesKj2sw?si=U-1DqTwNgoNDZQbO,https://www.youtube.com/live/n-t4k0FryUg?si=nj-tTCBsRJ2rnJwB,https://www.youtube.com/live/bSJ50xBDmIk?si=2jat-URaEDbePPHl,https://www.youtube.com/live/1ItKywYkelo?si=wpol5a8cStEeChui,https://www.youtube.com/live/eLOaCbclGCY?si=9uPXFLV2jHskgyTb,https://www.youtube.com/live/RgRMh5FZREY?si=Ixzy-tjVtQOG5-u9,https://www.youtube.com/live/LWd847bsXPE?si=RVFMXmx0f3KeWlU8,https://www.youtube.com/live/5seM8IZF-Uk?si=nUXuEPFn4O1pqR2f,https://www.youtube.com/live/NdJZ1paYHSY?si=QAD1h7nZDhs50q7b,https://www.youtube.com/live/cSqDIf-B3HA?si=FMturQasdCBDoTbw,https://www.youtube.com/live/btiA4lK-MLY?si=Jwc8SFbbzGBrD2kQ,https://www.youtube.com/live/ixd_x-NAkHk?si=6c_IW-Jzh-9Bojzb,https://www.youtube.com/live/m8cceYtUBGU?si=vCnzCnEsTNH6sn_x,https://www.youtube.com/live/kI9gxn02AL0?si=UzWgQerK9APcIxyI,アーカイブ無し,https://www.youtube.com/live/09HAdxPEeGU?si=9mouSywAqhLu41yP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
曲数,12,25,24,34,21,26,25,16,20,28,23,14,28,46,16,23,22,70,22,8,18,27,23,16,15,26,27,12,28,21,49,17,14,17,29,7,15,4,8,11,12,10,18,15,12,14,16,17,8,31,16,20,10,19,12,17,19,50,14,9,14,17,11,12,4,5,16,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,夜に駆ける,独りんぼエンヴィー,白い雪のプリンセスは,秒針を噛む,ジングルベル,ただ君に晴れ,サマータイムレコード,アイネクライネ,猫,春泥棒,敗北の少年,スノースマイル,群青,進め!ゴレンジャー,怪獣の花唄,ラヴィ,風待ちハローワールド,群青,可愛くてごめん,Flos,Just Be Friends,フォニイ,ラヴィ,敗北の少年,About me,銀河鉄道999,マーシャル・マキシマイザー,怪獣の花唄,ベテルギウス,ロマンスの神様,進め!ゴレンジャー,LEAP HIGH! 〜明日へ、めいっぱい〜,Pretender,恋愛裁判,*ハロー、プラネット。,マリーゴールド,春泥棒,撫でんな,青のすみか,ゴーゴー幽霊船,幽霊東京,POP STAR,夜もすがら君想ふ,夕景イエスタデイ,ギラギラ,夜もすがら君想ふ,新時代,丸ノ内サディスティック,幽霊東京,シャルル,祝福,DANZEN!ふたりはプリキュア,かわいいだけじゃだめですか？,Together,君はロックを聴かない,アイデンティティ,秒針を噛む,進め!ゴレンジャー,かわいいだけじゃだめですか？,撫でんな,少女レイ,ノーダウト,Flos,いかないで,浪漫飛行,フィラデルフィア,残響散歌,ライラック,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,ゴーストルール,少女レイ,バレリーコ,勘冴えて悔しいわ,創聖のアクエリオン,ガーネット,想像フォレスト,チョコレイト・ディスコ,夜に駆ける,"Hello,Worker",チェックメイト,夜に駆ける,怪物,ジャッカー電撃隊,アイデンティティ,可愛くてごめん,春泥棒,Mela!,トリノコシティ,丸の内サディスティック,魔法少女とチョコレゐト,宿命,風待ちハローワルド,気まぐれロマンティック,シュガーソングとビターステップ,乙女解剖,ダーリン,君はロックを聴かない,Butter-Fly,Snow halation,ジャッカー電撃隊,Together,クラクラ,サマータイムレコード,Just Be Friends,パプリカ,晴る,ダーリンダンス,Butter-Fly,マーシャル・マキシマイザー,絶え間なく藍色,CITRUS,気まぐれロマンティック,Tell Your World,Be The One,快晴,ビビデバ,マリーゴールド,空想フォレスト,ネトゲ廃人シュプレヒコール,勇者,ゲッチュウ!らぶらぶぅ?!,さよならエレジー,未来コネクション,ベテルギウス,乙女解剖,少女レイ,ジャッカー電撃隊,君じゃなきゃダメみたい,快晴,丸ノ内サディスティック,怪物,夜もすがら君想ふ,サマータイムレコード,ガールズルール,シャンティ,キセキ,おじゃま虫Ⅱ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,ヴァンパイア,サマータイムレコード,夕立のりぼん,怪物,シュガーソングとビターステップ,変わらないもの,純情スカート,シュガーソングとビターステップ,幽霊東京,アイデンティティ,デリヘル呼んだら君が来た,群青,夜に駆ける,バトルフィーバーJ,あの夏のいつかは,KICK BACK,CITRUS,残響散歌,君の知らない物語,愛をこめて花束を,神っぽいな,ミックスナッツ,烈車戦隊トッキュウジャー,夏祭り,創聖のアクエリオン,炉心融解,Sing Out!,マリーゴールド,Together,ロストマン,バトルフィーバーJ,祝福,群青,夜明けと蛍,独りんぼエンヴィー,ミックスナッツ,ロウワー,きゅうくらりん,めざせポケモンマスター,Wonderful Days,アイデンティティ,晴る,アイドル,パンダヒーロー,トンデモワンダーズ,シネマ,オリオンをなぞる,フォニイ,如月アテンション,Calc. ,フォニイ,全力キング,鬼ノ宴,心のファンファーレ,さくら,独りんぼエンヴィー,プラネテス,バトルフィーバーJ,シュガーソングとビターステップ,Snow halation,ないものねだり,ずうっといっしょ!,喧嘩上等,カゲロウデイズ,本気ボンバー!!,マフィア,カサブタ,さようなら、花泥棒さん,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,ブリキノダンス,いかないで,心臓デモクラシー,夜に駆ける,アカシア,帰り道は遠回りしたくなる,ゆるふわ樹海ガール,ドーナツホール,群青,マーシャル・マキシマイザー,Dear,想像フォレスト,君の知らない物語,ああ電子戦隊デンジマン,お願いマッスル,マーシャル・マキシマイザー,トウキョウ・シャンディ・ランデヴ,炎,深海シティアンダーグラウンド,猫,アイドル,ウィーアー！,動物戦隊ジュウオウジャー,secret base〜君がくれたもの〜,名前のない怪物,酔いどれ知らず,ロミオとシンデレラ,新時代,God knows...,スノースマイル,ああ電子戦隊デンジマン,アイドル,可愛くてごめん,晴る,創聖のアクエリオン,&ME,神っぽいな,アイワナムチュー,地球最後の告白を,エンゼルフィッシュ,KING,チューリングラブ,あの夏のいつかは,透明人間,名前のない怪物,鬼ノ宴,晴る,KING,アウターサイエンス,トリノコシティ,きゅうくらりん,爆上戦隊ブンブンジャー,ジャンキーナイトタウンオーケストラ,勝って泣こうゼッ!,夏の思い出,太陽系デスコ,ダウナーウィッチ,ああ電子戦隊デンジマン,オリオンをなぞる,アンサイズニア,エンゼルフィッシュ,ダーリンダンス,春を告げる,夜咄ディセイブ,世界でいちばん熱い夏,福音,Fire◎Flower,potatoになっていく,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,脳内革命ガール,ジャンキーナイトタウンオーケストラ,バッド・ダンス・ホール,群青,スノースマイル,シンクロニシティ,夕暮れ先生,恋愛裁判,残響散歌,おじゃま虫Ⅱ,ケッペキショウ,マーシャル・マキシマイザー,小さきもの,太陽戦隊サンバルカン,劣等上等,フォニイ,スターマーカー,紅蓮華,幽霊東京,ミックスナッツ,For my Stella,小さきもの,爆竜戦隊アバレンジャー,サマータイムレコード,残響散歌,チルドレンレコード,メルト,トウキョウ・シャンディ・ランデヴ,CITRUS,白い恋人達,太陽戦隊サンバルカン,勇者,少女レイ,幽霊東京,バレリーコ,クラクラ,エンヴィーベイビー,,撫でんな,深海シティアンダーグラウンド,少女レイ,ロキ,Flyer!,You got game?,LOVEマシーン,Flos,残響散歌,Booo!,ロスタイムメモリー,パラメタ,なにやってもうまくいかない,コツコツ-PON-PON,絶え間なく藍色,立ち上がリーヨ,三十路ボンバイエ,ダンスロボットダンス,ギラギラ,太陽戦隊サンバルカン,ブリキノダンス,ノーダウト,モニタリング,ベノム,パメラ,放課後ストライド,,プレイ,フィラデルフィア,真っ逆さまサマー,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,悪魔の踊り方,群青,アイラビューアイニジュー,深海のリトルクライ,YUME日和,ふわふわ時間,メランコリック,こっち向いて Baby,おジャ魔女カーニバル!!,potatoになっていく,アウターサイエンス,ブリキノダンス,1・2・3,大戦隊ゴーグルV,夜に駆ける,シャンティ,怪獣の花唄,怪獣の花唄,怪物,からくりピエロ,Good Time,可愛くてごめん,特捜戦隊デカレンジャー,CH4NGE,青のすみか,サマータイムレコード,天ノ弱,Femme Fatale,メランコリック,真夏の果実,大戦隊ゴーグルV,烈車戦隊トッキュウジャー,さようなら、花泥棒さん,Anything Goes!,心臓デモクラシー,インフルエンサー,おねがいダーリン,,アイワナムチュー,ジャンキーナイトタウンオーケストラ,六兆年と一夜物語,脳漿炸裂ガール,ドキメキダイアリー,シャイニング パワー,ハッピーサマーウェディング,ドラマツルギー,怪物,ダダダ天使,星屑サンセット,恋愛裁判,シャンティ,キラフル ミラクル キラメイジャー,セカイ,１ドリーム,君にBUMP,酔いどれ知らず,ダーリン,大戦隊ゴーグルV,ドクトリーヌ,Happiness,世界一可愛い私,ヴィラン,Mela!,夜明けと蛍,,,EmBlem!!!,天才ロック,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
