,さざなみゆん　歌った曲リスト,更新日:,2026/05/27,1306,,,474,68,19.5
,曲名,読み仮名,アーティスト名,歌った回数,最終歌唱日,経過日数,歌える楽曲数,歌枠回数,1枠平均曲数
1,あゝオオサカdreamin'night,ああ オオサカ ドリーミン ナイト,どついたれ本舗,1,2025/09/04,266日,,,
2,嗚呼、素晴らしきニャン生,ああ、すばらしきニャンせい,"Nem feat.鏡音レン,GUMI",1,2024/02/24,824日,,,
3,ああ電子戦隊デンジマン,ああでんしせんたいデンジマン,"成田賢,こおろぎ'73",3,2024/12/29,515日,,,
4,EYE,アイ,Kanaria feat. GUMI,2,2023/04/15,1139日,,,
5,アイデンティティ,アイデンティティ,"Kanaria feat. 初音ミク,GUMI",5,2024/12/06,538日,,,
6,アイドル,アイドル,YOASOBI,7,2024/07/12,685日,,,
7,Iなんです,アイなんです,25時、ナイトコードで。,1,2023/10/21,950日,,,
8,アイネクライネ,アイネクライネ,米津玄師,2,2024/11/21,553日,,,
9,アイのシナリオ,アイのシナリオ,CHiCO with HoneyWorks,1,2022/01/22,1587日,,,
10,愛迷エレジー,あいまいエレジー,DECO*27 feat.marina,1,2022/02/06,1572日,,,
11,アイラビューアイニジュー,アイラビューアイニジュー,KEI feat.初音ミク,2,2024/02/15,833日,,,
12,アイロニ,アイロニ,すこっぷ feat. 初音ミク,2,2023/10/21,950日,,,
13,アイワナムチュー,アイワナムチュー,"MAISONdes feat. asmi, すりぃ",2,2024/04/18,770日,,,
14,愛をこめて花束を,あいをこめてはなたばを,Superfly,2,2024/02/24,824日,,,
15,アウターサイエンス,アウターサイエンス,じん feat. IA,3,2024/09/25,610日,,,
16,青のすみか,あおのすみか,キタニタツヤ,3,2024/04/18,770日,,,
17,アカシア,アカシア,BUMP OF CHICKEN,6,2024/02/24,824日,,,
18,悪魔の踊り方,あくまのおどりかた,こんにちは谷田さん(キタニタツヤ) feat. 鏡音リン,4,2022/05/04,1485日,,,
19,アサガオの散る頃に,アサガオのちるころに,じっぷす feat. 初音ミク,1,2021/12/11,1629日,,,
20,阿修羅ちゃん,あしゅらちゃん,Ado,3,2023/10/21,950日,,,
21,アスノヨゾラ哨戒班,アスノヨゾラしょうかいはん,Orangestar feat.IA,3,2024/05/03,755日,,,
22,アドバンス・アドベンチャー,アドバンス・アドベンチャー,GARDEN,1,2023/04/15,1139日,,,
23,アニマル,アニマル,"DECO*27,Rockwell feat.初音ミク",3,2024/10/18,587日,,,
24,あの夏のいつかは,あのなつのいつかは,"*Luna feat. 音街ウナ,Rana",4,2025/01/31,482日,,,
25,About me,アバウト ミー,蝶々P feat. GUMI,12,2025/09/04,266日,,,
26,アポロ,アポロ,ポルノグラフィティ,2,2024/12/28,516日,,,
27,天ノ弱,あまのじゃく,164 feat.GUMI,3,2024/10/05,600日,,,
28,Alive A life,アライブ ア ライフ,松本 梨香,1,2025/04/10,413日,,,
29,アローラ!!,アローラ,サトシ(CV.松本梨香)withピカチュウ(CV.大谷育江),1,2024/11/14,560日,,,
30,アンサイズニア,アンサイズニア,ONE OK ROCK,2,2025/12/17,162日,,,
31,アンダー・ザ・シー,アンダー・ザ・シー,上條恒彦,2,2024/03/22,797日,,,
32,UNDEAD,アンデッド,YOASOBI,1,2025/07/19,313日,,,
33,&ME,アンドミー,NALALA,1,2024/03/16,803日,,,
34,いーあるふぁんくらぶ,いーあるふぁんくらぶ,"みきとP feat.GUMI,鏡音リン",4,2024/06/26,701日,,,
35,いかないで,いかないで,想太 feat.歌愛ユキ,4,2025/07/19,313日,,,
36,いけないボーダーライン,いけないボーダーライン,ワルキューレ,1,2023/10/07,964日,,,
37,1925,イチキュウニーゴー,冨田悠斗(とみー/T-POCKET) feat. 初音ミク,2,2024/12/06,538日,,,
38,一生分のラブレター,いっしょうぶんのラブレター,ウソツキ,1,2024/11/21,553日,,,
39,威風堂々,いふうどうどう,"梅とら feat. 初音ミク,鏡音リン,巡音ルカ,GUMI,IA",1,2022/02/06,1572日,,,
40,インフルエンサー,インフルエンサー,乃木坂46,4,2024/08/08,658日,,,
41,ヴァンパイア,ヴァンパイア,"DECO*27,Rockwell feat. 初音ミク",4,2024/10/18,587日,,,
42,We are the ONE ～僕らはひとつ～,ウィー アー ザ ワン ぼくらはひとつ,串田アキラ,1,2024/11/03,571日,,,
43,ウィーアー！,ウィーアー,きただにひろし,2,2023/10/07,964日,,,
44,ヴィラン,ヴィラン,てにをは feat. v flower,1,2025/04/10,413日,,,
45,Watch me!,ウォッチ ミー,YOASOBI,2,2025/09/04,266日,,,
46,うまぴょい伝説,うまぴょいでんせつ,ウマ娘 プリティーダービー,2,2023/11/04,936日,,,
47,え？あぁ、そう。,え あぁ そう,蝶々P feat. 初音ミク,1,2024/10/05,600日,,,
48,エイリアンエイリアン,エイリアンエイリアン,ナユタン星人 feat. 初音ミク,4,2023/04/15,1139日,,,
49,YELL,エール,いきものがかり,1,2025/01/08,505日,,,
50,EXCITE,エキサイト,三浦大知,2,2024/01/04,875日,,,
51,エゴロック,エゴロック,すりぃ feat. 鏡音レン,4,2024/10/18,587日,,,
52,Anything Goes!,エニシング ゴーズ,大黒摩季,3,2024/02/15,833日,,,
53,Everyday、カチューシャ,エブリデイ カチューシャ,AKB48,1,2024/08/08,658日,,,
54,M,エム,PRINCESS PRINCESS,1,2023/12/07,903日,,,
55,エンヴィーベイビー,エンヴィーベイビー,Kanaria feat. GUMI,4,2024/10/18,587日,,,
56,『エンヴィーベイビー』×『KING』,エンヴィーベイビー×キング,Kanaria feat. GUMI,3,2023/04/15,1139日,,,
57,炎神戦隊ゴーオンジャー,えんじんせんたいゴーオンジャー,高橋秀幸(Project.R),3,2024/12/29,515日,,,
58,炎神ファーストラップ-Type Normal-,えんじんファーストラップ タイプ ノーマル,Project.R,1,2024/11/03,571日,,,
59,エンゼルフィッシュ,エンゼルフィッシュ,パトリチェフ feat. 鏡音リン,3,2025/01/31,482日,,,
60,EmBlem!!!,エンブレム,BAE,1,2025/09/04,266日,,,
61,大声ダイヤモンド,おおごえダイヤモンド,AKB48,1,2024/08/08,658日,,,
62,オートファジー,オートファジー,柊キライ feat. v flower,3,2023/04/15,1139日,,,
63,Overdose,オーバードーズ,なとり,1,2024/01/11,868日,,,
64,オーレ!オーレンジャー,オーレ オーレンジャー,速水けんたろう,3,2024/12/29,515日,,,
65,おジャ魔女カーニバル!!,おジャまじょカーニバル,MAHO堂,3,2024/03/22,797日,,,
66,おじゃま虫,おじゃまむし,DECO*27 feat. 初音ミク,2,2022/02/06,1572日,,,
67,おじゃま虫Ⅱ,おじゃまむしⅡ,"DECO*27,TeddyLoid feat. 初音ミク",5,2025/10/17,223日,,,
68,おちゃめ機能,おちゃめきのう,ゴジマジP feat. 重音テト,2,2023/10/21,950日,,,
69,踊,おど,Ado,5,2024/09/04,631日,,,
70,乙女解剖,おとめかいぼう,DECO*27 feat.初音ミク,4,2024/12/06,538日,,,
71,鬼ノ宴,おにノうたげ,友成空,3,2024/12/06,538日,,,
72,おねがいダーリン,おねがいダーリン,ナナホシ管弦楽団 feat. ONE,1,2024/03/22,797日,,,
73,お願いマッスル,おねがいマッスル,紗倉ひびき(CV.ファイルーズあい)＆街雄鳴造(CV.石川界人),1,2022/11/13,1292日,,,
74,オリオンをなぞる,オリオンをなぞる,UNISON SQUARE GARDEN,4,2025/01/08,505日,,,
75,俺こそオンリーワン,おれこそオンリーワン,MORISAKI WIN,3,2024/12/29,515日,,,
76,ガーネット,ガーネット,奥華子,2,2024/07/12,685日,,,
77,ガールズルール,ガールズルール,乃木坂46,2,2025/08/09,292日,,,
78,廻廻奇譚,かいかいきたん,Eve,1,2023/09/04,997日,,,
79,怪獣の花唄,かいじゅうのはなうた,Vaundy,8,2024/11/06,568日,,,
80,快晴,かいせい,Orangestar feat. IA,2,2025/12/17,162日,,,
81,海賊戦隊ゴーカイジャー,かいぞくせんたいゴーカイジャー,松原剛志(Project.R),3,2024/12/29,515日,,,
